네이버_수집일시,네이버_단지명,네이버_단지코드,네이버_시도,네이버_시군구,네이버_읍면동,네이버_공급면적,네이버_매매가,네이버_매매가_숫자,네이버_층정보,네이버_방향,네이버_상세정보,네이버_부동산사무소,네이버_확인일자,네이버_매물순번,KB_수집일시,KB_단지명,KB_주소,KB_공급면적,KB_하위평균,KB_일반평균,KB_상위평균,KB_부동산사무소,KB_전화번호,가격차이_만원,가격차이_비율,정규화단지명,공급면적_숫자
2025-07-16 12:45:50,인천논현힐스테이트 102동,26403,인천시,남동구,논현동,182/145,"7억 3,000",73000.0,2/31층,남향,"182/145m², 2/31층, 남향",부동산렛츠 제공,25.07.01,97,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,182.33/145.75,84000.0,87000.0,91000.0,힐스테이트리안공인,032-423-8884,11000.0,13.1,인천논현힐스테이트,182
2025-07-16 12:45:50,인천논현힐스테이트 102동,26403,인천시,남동구,논현동,182/145,"7억 3,000",73000.0,2/31층,남향,"182/145m², 2/31층, 남향",매경부동산 제공,25.07.09,24,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,182.33/145.75,84000.0,87000.0,91000.0,힐스테이트리안공인,032-423-8884,11000.0,13.1,인천논현힐스테이트,182
2025-07-16 12:45:50,인천논현힐스테이트 102동,26403,인천시,남동구,논현동,182/145,"7억 3,000",73000.0,2/31층,남향,"182/145m², 2/31층, 남향",매경부동산 제공,25.07.01,91,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,182.33/145.75,84000.0,87000.0,91000.0,힐스테이트리안공인,032-423-8884,11000.0,13.1,인천논현힐스테이트,182
2025-07-16 12:45:50,인천논현힐스테이트 102동,26403,인천시,남동구,논현동,182/145,"7억 3,000",73000.0,2/31층,남향,"182/145m², 2/31층, 남향",부동산렛츠 제공,25.07.12,9,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,182.33/145.75,84000.0,87000.0,91000.0,힐스테이트리안공인,032-423-8884,11000.0,13.1,인천논현힐스테이트,182
2025-07-16 12:45:50,인천논현힐스테이트 102동,26403,인천시,남동구,논현동,182/145,"7억 3,000",73000.0,2/31층,남향,"182/145m², 2/31층, 남향",부동산렛츠 제공,25.07.11,13,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,182.33/145.75,84000.0,87000.0,91000.0,힐스테이트리안공인,032-423-8884,11000.0,13.1,인천논현힐스테이트,182
2025-07-16 12:45:50,인천논현힐스테이트 102동,26403,인천시,남동구,논현동,182/145,"7억 3,000",73000.0,,남향,"182/145m², 저/31층, 남향",매경부동산 제공,25.06.26,158,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,182.33/145.75,84000.0,87000.0,91000.0,힐스테이트리안공인,032-423-8884,11000.0,13.1,인천논현힐스테이트,182
2025-07-16 12:45:50,인천논현힐스테이트 101동,26403,인천시,남동구,논현동,182/145,"7억 5,000",75000.0,2/32층,남향,"182/145m², 2/32층, 남향",매경부동산 제공,25.07.14,7,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,182.33/145.75,84000.0,87000.0,91000.0,힐스테이트리안공인,032-423-8884,9000.0,10.71,인천논현힐스테이트,182
2025-07-16 12:45:50,인천논현힐스테이트 101동,26403,인천시,남동구,논현동,182/145,"7억 5,000",75000.0,,남향,"182/145m², 저/32층, 남향",부동산렛츠 제공,25.07.12,50,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,182.33/145.75,84000.0,87000.0,91000.0,힐스테이트리안공인,032-423-8884,9000.0,10.71,인천논현힐스테이트,182
2025-07-16 12:45:50,인천논현힐스테이트 101동,26403,인천시,남동구,논현동,182/145,"7억 5,000",75000.0,2/32층,남향,"182/145m², 2/32층, 남향",매경부동산 제공,25.06.26,120,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,182.33/145.75,84000.0,87000.0,91000.0,힐스테이트리안공인,032-423-8884,9000.0,10.71,인천논현힐스테이트,182
2025-07-16 12:45:51,인천논현힐스테이트 101동,26403,인천시,남동구,논현동,164/132,"7억 2,000",72000.0,,남서향,"164/132m², 중/32층, 남서향",부동산렛츠 제공,25.06.18,201,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,164.45/132.61,80000.0,83500.0,86500.0,힐스테이트리안공인,032-423-8884,8000.0,10.0,인천논현힐스테이트,164
2025-07-16 12:45:51,인천논현힐스테이트 101동,26403,인천시,남동구,논현동,182/145,"7억 6,000",76000.0,,남향,"182/145m², 저/32층, 남향",부동산렛츠 제공,25.06.20,191,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,182.33/145.75,84000.0,87000.0,91000.0,힐스테이트리안공인,032-423-8884,8000.0,9.52,인천논현힐스테이트,182
2025-07-16 12:45:50,인천논현힐스테이트 101동,26403,인천시,남동구,논현동,164/132,"7억 2,000",72000.0,,남서향,"164/132m², 중/32층, 남서향",부동산렛츠 제공,25.07.11,55,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,164.45/132.61,80000.0,83500.0,86500.0,힐스테이트리안공인,032-423-8884,8000.0,10.0,인천논현힐스테이트,164
2025-07-16 12:45:50,인천논현힐스테이트 101동,26403,인천시,남동구,논현동,182/145,"7억 7,000",77000.0,,남향,"182/145m², 중/32층, 남향",매경부동산 제공,25.06.30,143,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,182.33/145.75,84000.0,87000.0,91000.0,힐스테이트리안공인,032-423-8884,7000.0,8.33,인천논현힐스테이트,182
2025-07-16 12:45:51,인천논현힐스테이트 101동,26403,인천시,남동구,논현동,182/145,"7억 7,000",77000.0,,남향,"182/145m², 중/32층, 남향",부동산렛츠 제공,25.06.17,213,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,182.33/145.75,84000.0,87000.0,91000.0,힐스테이트리안공인,032-423-8884,7000.0,8.33,인천논현힐스테이트,182
2025-07-16 12:45:50,인천논현힐스테이트 104동,26403,인천시,남동구,논현동,147/115,"6억 3,000",63000.0,,남서향,"147/115m², 저/32층, 남서향",매경부동산 제공,25.07.15,29,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,147.26/115.39,70000.0,72500.0,76500.0,힐스테이트리안공인,032-423-8884,7000.0,10.0,인천논현힐스테이트,147
2025-07-16 12:45:50,인천논현힐스테이트 104동,26403,인천시,남동구,논현동,147/115,"6억 3,000",63000.0,,남서향,"147/115m², 저/32층, 남서향",부동산렛츠 제공,25.07.09,68,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,147.26/115.39,70000.0,72500.0,76500.0,힐스테이트리안공인,032-423-8884,7000.0,10.0,인천논현힐스테이트,147
2025-07-16 12:45:50,인천논현힐스테이트 104동,26403,인천시,남동구,논현동,147/115,"6억 4,000",64000.0,,남동향,"147/115m², 저/32층, 남동향",부동산렛츠 제공,25.07.14,43,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,147.26/115.39,70000.0,72500.0,76500.0,힐스테이트리안공인,032-423-8884,6000.0,8.57,인천논현힐스테이트,147
2025-07-16 12:45:50,인천논현힐스테이트 104동,26403,인천시,남동구,논현동,147/115,"6억 4,000",64000.0,4/32층,남향,"147/115m², 4/32층, 남향",부동산렛츠 제공,25.07.08,116,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,147.26/115.39,70000.0,72500.0,76500.0,힐스테이트리안공인,032-423-8884,6000.0,8.57,인천논현힐스테이트,147
2025-07-16 12:45:50,인천논현힐스테이트 104동,26403,인천시,남동구,논현동,147/115,"6억 4,000",64000.0,,남동향,"147/115m², 저/32층, 남동향",부동산렛츠 제공,25.06.23,174,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,147.26/115.39,70000.0,72500.0,76500.0,힐스테이트리안공인,032-423-8884,6000.0,8.57,인천논현힐스테이트,147
2025-07-16 12:45:50,인천논현힐스테이트 104동,26403,인천시,남동구,논현동,147/115,"6억 4,000",64000.0,,남동향,"147/115m², 저/32층, 남동향",매경부동산 제공,25.06.26,155,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,147.26/115.39,70000.0,72500.0,76500.0,힐스테이트리안공인,032-423-8884,6000.0,8.57,인천논현힐스테이트,147
2025-07-16 12:45:50,인천논현힐스테이트 102동,26403,인천시,남동구,논현동,182/145,"7억 8,000",78000.0,,남향,"182/145m², 저/31층, 남향",부동산렛츠 제공,25.06.24,167,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,182.33/145.75,84000.0,87000.0,91000.0,힐스테이트리안공인,032-423-8884,6000.0,7.14,인천논현힐스테이트,182
2025-07-16 12:45:51,인천논현힐스테이트 101동,26403,인천시,남동구,논현동,164/132,"7억 4,000",74000.0,,남서향,"164/132m², 고/32층, 남서향",매경부동산 제공,25.06.19,200,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,164.45/132.61,80000.0,83500.0,86500.0,힐스테이트리안공인,032-423-8884,6000.0,7.5,인천논현힐스테이트,164
2025-07-16 12:45:50,인천논현힐스테이트 102동,26403,인천시,남동구,논현동,164/132,"7억 5,000",75000.0,,남서향,"164/132m², 저/31층, 남서향",매경부동산 제공,25.06.23,177,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,164.45/132.61,80000.0,83500.0,86500.0,힐스테이트리안공인,032-423-8884,5000.0,6.25,인천논현힐스테이트,164
2025-07-16 12:45:50,인천논현힐스테이트 104동,26403,인천시,남동구,논현동,150/117,"6억 5,000",65000.0,,남향,"150/117m², 저/32층, 남향",부동산렛츠 제공,25.07.01,133,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,150.59/117.26,70000.0,72500.0,76500.0,힐스테이트리안공인,032-423-8884,5000.0,7.14,인천논현힐스테이트,150
2025-07-16 12:45:50,인천논현힐스테이트 101동,26403,인천시,남동구,논현동,164/132,"7억 5,000",75000.0,,남동향,"164/132m², 저/32층, 남동향",매경부동산 제공,25.07.04,110,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,164.45/132.61,80000.0,83500.0,86500.0,힐스테이트리안공인,032-423-8884,5000.0,6.25,인천논현힐스테이트,164
2025-07-16 12:45:50,인천논현힐스테이트 101동,26403,인천시,남동구,논현동,164/132,"7억 5,000",75000.0,4/32층,남동향,"164/132m², 4/32층, 남동향",매경부동산 제공,25.07.01,87,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,164.45/132.61,80000.0,83500.0,86500.0,힐스테이트리안공인,032-423-8884,5000.0,6.25,인천논현힐스테이트,164
2025-07-16 12:45:50,인천논현힐스테이트 101동,26403,인천시,남동구,논현동,164/132,"7억 5,000",75000.0,,남동향,"164/132m², 저/32층, 남동향",매경부동산 제공,25.07.05,103,2025-07-02 20:07:41,인천논현힐스테이트,인천광역시 남동구 논현동 732-1,164.45/132.61,80000.0,83500.0,86500.0,힐스테이트리안공인,032-423-8884,5000.0,6.25,인천논현힐스테이트,164
