네이버_수집일시,네이버_단지명,네이버_단지코드,네이버_시도,네이버_시군구,네이버_읍면동,네이버_공급면적,네이버_매매가,네이버_매매가_숫자,네이버_층정보,네이버_방향,네이버_상세정보,네이버_부동산사무소,네이버_확인일자,네이버_매물순번,KB_수집일시,KB_단지명,KB_주소,KB_공급면적,KB_하위평균,KB_일반평균,KB_상위평균,KB_부동산사무소,KB_전화번호,가격차이_만원,가격차이_비율,정규화단지명,공급면적_숫자
2025-07-16 21:07:23,백두 1동,8360,인천시,서구,불로동,130/84,"1억 7,000",17000.0,,남동향,"130/84m², 고/15층, 남동향",알터 제공,25.06.16,25,2025-07-02 22:50:14,백두,인천광역시 서구 불로동 776-1,130.24/84.84,21250.0,22000.0,22750.0,소망부동산플러스공인,032-561-9988,4250.0,20.0,백두,130
2025-07-16 21:07:23,백두 1동,8360,인천시,서구,불로동,130/84,"1억 7,000",17000.0,15/15층,남동향,"130/84m², 15/15층, 남동향",부동산뱅크 제공,25.06.16,24,2025-07-02 22:50:14,백두,인천광역시 서구 불로동 776-1,130.24/84.84,21250.0,22000.0,22750.0,소망부동산플러스공인,032-561-9988,4250.0,20.0,백두,130
2025-07-16 21:14:40,낙원 3동,8882,인천시,서구,석남동,63B/49,"9,000",9000.0,6/6층,남향,"63B/49m², 6/6층, 남향",부동산렛츠 제공,25.07.03,4,2025-07-02 22:54:02,낙원,인천광역시 서구 석남동 468-3,63.75B/49.50,12750.0,14000.0,14750.0,영동공인,032-572-0007,3750.0,29.41,낙원,63B
2025-07-16 20:08:23,검단신도시모아미래도엘리트파크 802동,127726,인천시,서구,당하동,109A/84,"5억 2,000",52000.0,1/13층,남동향,"109A/84m², 1/13층, 남동향",알터 제공,25.07.14,67,2025-07-02 22:37:11,검단신도시모아미래도엘리트파크,인천광역시 서구 당하동 1318-8,109.22A/84.65,55250.0,58500.0,59750.0,검단하랑공인,032-565-7710,3250.0,5.88,검단신도시모아미래도엘리트파크,109A
2025-07-16 20:08:23,검단신도시모아미래도엘리트파크 802동,127726,인천시,서구,당하동,109A/84,"5억 2,000",52000.0,1/13층,남동향,"109A/84m², 1/13층, 남동향",부동산렛츠 제공,25.07.10,101,2025-07-02 22:37:11,검단신도시모아미래도엘리트파크,인천광역시 서구 당하동 1318-8,109.22A/84.65,55250.0,58500.0,59750.0,검단하랑공인,032-565-7710,3250.0,5.88,검단신도시모아미래도엘리트파크,109A
2025-07-16 20:08:22,검단신도시모아미래도엘리트파크 802동,127726,인천시,서구,당하동,109A/84,"5억 2,000",52000.0,1/13층,남향,"109A/84m², 1/13층, 남향",부동산써브 제공,25.07.16,19,2025-07-02 22:37:11,검단신도시모아미래도엘리트파크,인천광역시 서구 당하동 1318-8,109.22A/84.65,55250.0,58500.0,59750.0,검단하랑공인,032-565-7710,3250.0,5.88,검단신도시모아미래도엘리트파크,109A
2025-07-16 20:08:23,검단신도시모아미래도엘리트파크 802동,127726,인천시,서구,당하동,109A/84,"5억 2,000",52000.0,1/13층,남향,"109A/84m², 1/13층, 남향",부동산렛츠 제공,25.07.15,43,2025-07-02 22:37:11,검단신도시모아미래도엘리트파크,인천광역시 서구 당하동 1318-8,109.22A/84.65,55250.0,58500.0,59750.0,검단하랑공인,032-565-7710,3250.0,5.88,검단신도시모아미래도엘리트파크,109A
2025-07-16 20:08:23,검단신도시모아미래도엘리트파크 802동,127726,인천시,서구,당하동,109A/84,"5억 2,000",52000.0,1/13층,남향,"109A/84m², 1/13층, 남향",매경부동산 제공,25.07.10,104,2025-07-02 22:37:11,검단신도시모아미래도엘리트파크,인천광역시 서구 당하동 1318-8,109.22A/84.65,55250.0,58500.0,59750.0,검단하랑공인,032-565-7710,3250.0,5.88,검단신도시모아미래도엘리트파크,109A
2025-07-16 20:08:23,검단신도시모아미래도엘리트파크 802동,127726,인천시,서구,당하동,109A/84,"5억 2,000",52000.0,1/13층,남향,"109A/84m², 1/13층, 남향",매경부동산 제공,25.07.12,83,2025-07-02 22:37:11,검단신도시모아미래도엘리트파크,인천광역시 서구 당하동 1318-8,109.22A/84.65,55250.0,58500.0,59750.0,검단하랑공인,032-565-7710,3250.0,5.88,검단신도시모아미래도엘리트파크,109A
2025-07-16 20:08:23,검단신도시모아미래도엘리트파크 802동,127726,인천시,서구,당하동,109A/84,"5억 2,000",52000.0,1/13층,남동향,"109A/84m², 1/13층, 남동향",알터 제공,25.07.10,103,2025-07-02 22:37:11,검단신도시모아미래도엘리트파크,인천광역시 서구 당하동 1318-8,109.22A/84.65,55250.0,58500.0,59750.0,검단하랑공인,032-565-7710,3250.0,5.88,검단신도시모아미래도엘리트파크,109A
