네이버_수집일시,네이버_단지명,네이버_시도,네이버_시군구,네이버_읍면동,네이버_공급면적,네이버_매매가,네이버_매매가_숫자,네이버_층정보,네이버_방향,네이버_상세정보,네이버_부동산사무소,네이버_확인일자,네이버_매물순번,KB_수집일시,KB_단지명,KB_주소,KB_공급면적,KB_하위평균,KB_일반평균,KB_상위평균,KB_부동산사무소,KB_전화번호,가격차이_만원,가격차이_비율,정규화단지명,공급면적_숫자
2025-07-03 05:41:41,일두맨션 2동,경기도,부천시 원미구,역곡동,78/60,"3억 5,500",35500.0,5/5층,남향,"78/60m², 5/5층, 남향",부동산써브 제공,25.06.24,4,2025-07-02 03:32:37,일두맨션,경기도 부천시 원미구 역곡동 75,78.66/60.22,41750.0,43750.0,44750.0,제일부동산공인,032-343-3500,6250.0,14.97,일두맨션,78.0
2025-07-03 05:41:41,일두맨션 2동,경기도,부천시 원미구,역곡동,78/60,"3억 5,500",35500.0,5/5층,남향,"78/60m², 5/5층, 남향",부동산써브 제공,25.06.24,5,2025-07-02 03:32:37,일두맨션,경기도 부천시 원미구 역곡동 75,78.66/60.22,41750.0,43750.0,44750.0,제일부동산공인,032-343-3500,6250.0,14.97,일두맨션,78.0
2025-07-03 05:41:41,일두맨션 2동,경기도,부천시 원미구,역곡동,78/60,"3억 5,500",35500.0,5/5층,남향,"78/60m², 5/5층, 남향",부동산써브 제공,25.06.19,7,2025-07-02 03:32:37,일두맨션,경기도 부천시 원미구 역곡동 75,78.66/60.22,41750.0,43750.0,44750.0,제일부동산공인,032-343-3500,6250.0,14.97,일두맨션,78.0
2025-07-03 05:26:16,현대 6동,경기도,부천시 원미구,약대동,75/63,"3억 5,000",35000.0,3/5층,남향,"75/63m², 3/5층, 남향",부동산써브 제공,25.06.04,10,2025-07-02 03:21:34,현대,경기도 부천시 원미구 약대동 169-6,75.41/63.03,38500.0,40500.0,42000.0,LG공인,032-674-0606,3500.0,9.09,현대,75.0
2025-07-03 05:26:16,현대 6동,경기도,부천시 원미구,약대동,75/63,"3억 5,000",35000.0,3/5층,남향,"75/63m², 3/5층, 남향",부동산써브 제공,25.06.27,5,2025-07-02 03:21:34,현대,경기도 부천시 원미구 약대동 169-6,75.41/63.03,38500.0,40500.0,42000.0,LG공인,032-674-0606,3500.0,9.09,현대,75.0
2025-07-03 05:41:41,일두맨션 1동,경기도,부천시 원미구,역곡동,70/53,"3억 3,000",33000.0,5/5층,동향,"70/53m², 5/5층, 동향",부동산써브 제공,25.06.24,2,2025-07-02 03:32:37,일두맨션,경기도 부천시 원미구 역곡동 75,70.81/53.83,36250.0,37750.0,39250.0,제일부동산공인,032-343-3500,3250.0,8.97,일두맨션,70.0
2025-07-03 05:26:16,현대 1동,경기도,부천시 원미구,약대동,66/55,"3억 2,000",32000.0,2/5층,남향,"66/55m², 2/5층, 남향",부동산써브 제공,25.06.04,11,2025-07-02 03:21:34,현대,경기도 부천시 원미구 약대동 169-6,66.95/55.32,35000.0,36500.0,38500.0,LG공인,032-674-0606,3000.0,8.57,현대,66.0
2025-07-03 05:41:41,일두맨션 6동,경기도,부천시 원미구,역곡동,73B/55,"3억 6,000",36000.0,5/5층,남향,"73B/55m², 5/5층, 남향",부동산써브 제공,25.06.19,14,2025-07-02 03:32:37,일두맨션,경기도 부천시 원미구 역곡동 75,73.68B/55.95,38750.0,40750.0,41750.0,제일부동산공인,032-343-3500,2750.0,7.1,일두맨션,73.0
2025-07-03 05:16:52,더파크힐2 1동,경기도,부천시 원미구,심곡동,76/62,"3억 2,000",32000.0,11/13층,남향,"76/62m², 11/13층, 남향",부동산뱅크 제공,25.06.30,1,2025-07-02 03:14:42,더파크힐2,경기도 부천시 원미구 심곡동 298-30,76.18/62.04,34600.0,36700.0,38700.0,정보없음,정보없음,2600.0,7.51,더파크힐2,76.0
2025-07-03 05:16:52,더파크힐2 1동,경기도,부천시 원미구,심곡동,76/62,"3억 2,000",32000.0,,남향,"76/62m², 고/13층, 남향",부동산써브 제공,25.06.14,7,2025-07-02 03:14:42,더파크힐2,경기도 부천시 원미구 심곡동 298-30,76.18/62.04,34600.0,36700.0,38700.0,정보없음,정보없음,2600.0,7.51,더파크힐2,76.0
2025-07-03 05:16:52,더파크힐2 1동,경기도,부천시 원미구,심곡동,76/62,"3억 2,000",32000.0,9/13층,남향,"76/62m², 9/13층, 남향",매경부동산 제공,25.06.14,6,2025-07-02 03:14:42,더파크힐2,경기도 부천시 원미구 심곡동 298-30,76.18/62.04,34600.0,36700.0,38700.0,정보없음,정보없음,2600.0,7.51,더파크힐2,76.0
2025-07-03 05:26:16,현대 6동,경기도,부천시 원미구,약대동,75/63,"3억 6,500",36500.0,,남향,"75/63m², 저/5층, 남향",부동산써브 제공,25.06.05,12,2025-07-02 03:21:34,현대,경기도 부천시 원미구 약대동 169-6,75.41/63.03,38500.0,40500.0,42000.0,LG공인,032-674-0606,2000.0,5.19,현대,75.0
2025-07-03 05:26:16,현대 6동,경기도,부천시 원미구,약대동,75/63,"3억 6,500",36500.0,1/5층,남향,"75/63m², 1/5층, 남향",부동산렛츠 제공,25.06.28,1,2025-07-02 03:21:34,현대,경기도 부천시 원미구 약대동 169-6,75.41/63.03,38500.0,40500.0,42000.0,LG공인,032-674-0606,2000.0,5.19,현대,75.0
2025-07-03 05:41:41,일두맨션 6동,경기도,부천시 원미구,역곡동,73B/55,"3억 7,500",37500.0,5/5층,남향,"73B/55m², 5/5층, 남향",부동산써브 제공,25.06.04,17,2025-07-02 03:32:37,일두맨션,경기도 부천시 원미구 역곡동 75,73.68B/55.95,38750.0,40750.0,41750.0,제일부동산공인,032-343-3500,1250.0,3.23,일두맨션,73.0
2025-07-03 05:26:16,현대 1동,경기도,부천시 원미구,약대동,66/55,"3억 4,000",34000.0,2/5층,남향,"66/55m², 2/5층, 남향",부동산써브 제공,25.06.11,9,2025-07-02 03:21:34,현대,경기도 부천시 원미구 약대동 169-6,66.95/55.32,35000.0,36500.0,38500.0,LG공인,032-674-0606,1000.0,2.86,현대,66.0
2025-07-03 05:26:16,현대 1동,경기도,부천시 원미구,약대동,66/55,"3억 4,000",34000.0,2/5층,남향,"66/55m², 2/5층, 남향",매경부동산 제공,25.06.05,8,2025-07-02 03:21:34,현대,경기도 부천시 원미구 약대동 169-6,66.95/55.32,35000.0,36500.0,38500.0,LG공인,032-674-0606,1000.0,2.86,현대,66.0
2025-07-03 05:41:01,우림루미아트 101동,경기도,부천시 원미구,역곡동,106B/84,"5억 6,000",56000.0,10/14층,남향,"106B/84m², 10/14층, 남향",부동산뱅크 제공,25.06.28,4,2025-07-02 03:32:07,우림루미아트,경기도 부천시 원미구 역곡동 202,106.51B/84.97,57000.0,60000.0,62000.0,OK부동산공인,032-342-6000,1000.0,1.75,우림루미아트,106.0
2025-07-03 05:43:41,한국 101동,경기도,부천시 원미구,역곡동,161/134,"5억 1,500",51500.0,1/22층,동향,"161/134m², 1/22층, 동향",부동산뱅크 제공,25.06.21,20,2025-07-02 03:34:04,한국,경기도 부천시 원미구 역곡동 212-2,161.52/134.49,52500.0,54500.0,56500.0,OK부동산공인,032-342-6000,1000.0,1.9,한국,161.0
2025-07-03 05:41:41,일두맨션 6동,경기도,부천시 원미구,역곡동,73B/55,"3억 8,000",38000.0,3/5층,남향,"73B/55m², 3/5층, 남향",매경부동산 제공,25.06.19,6,2025-07-02 03:32:37,일두맨션,경기도 부천시 원미구 역곡동 75,73.68B/55.95,38750.0,40750.0,41750.0,제일부동산공인,032-343-3500,750.0,1.94,일두맨션,73.0
2025-07-03 05:41:41,일두맨션 6동,경기도,부천시 원미구,역곡동,73B/55,"3억 8,000",38000.0,3/5층,남향,"73B/55m², 3/5층, 남향",부동산렛츠 제공,25.06.12,13,2025-07-02 03:32:37,일두맨션,경기도 부천시 원미구 역곡동 75,73.68B/55.95,38750.0,40750.0,41750.0,제일부동산공인,032-343-3500,750.0,1.94,일두맨션,73.0
2025-07-03 05:41:41,일두맨션 6동,경기도,부천시 원미구,역곡동,73B/55,"3억 8,000",38000.0,,남향,"73B/55m², 고/5층, 남향",매경부동산 제공,25.06.09,19,2025-07-02 03:32:37,일두맨션,경기도 부천시 원미구 역곡동 75,73.68B/55.95,38750.0,40750.0,41750.0,제일부동산공인,032-343-3500,750.0,1.94,일두맨션,73.0
2025-07-03 05:07:14,윌타운 1동,경기도,부천시 원미구,상동,41/25,"6,000",6000.0,3/15층,남향,"41/25m², 3/15층, 남향",부동산써브 제공,25.06.30,1,2025-07-02 03:07:19,윌타운,경기도 부천시 원미구 상동 402-3,41.19B/29.78,6700.0,6950.0,7250.0,송내별빛부동산공인,032-323-6300,700.0,10.45,윌타운,41.0
2025-07-03 05:06:55,윌타운 1동,경기도,부천시 원미구,상동,41/25,"6,000",6000.0,3/15층,남향,"41/25m², 3/15층, 남향",부동산써브 제공,25.06.30,1,2025-07-02 03:07:19,윌타운,경기도 부천시 원미구 상동 402-3,41.19B/29.78,6700.0,6950.0,7250.0,송내별빛부동산공인,032-323-6300,700.0,10.45,윌타운,41.0
2025-07-03 05:41:01,우림루미아트 101동,경기도,부천시 원미구,역곡동,105A/84,"5억 5,000",55000.0,3/14층,남서향,"105A/84m², 3/14층, 남서향",부동산써브 제공,25.06.27,7,2025-07-02 03:32:07,우림루미아트,경기도 부천시 원미구 역곡동 202,105.63A/84.96,55500.0,58750.0,61000.0,OK부동산공인,032-342-6000,500.0,0.9,우림루미아트,105.0
2025-07-03 05:41:01,우림루미아트 101동,경기도,부천시 원미구,역곡동,128/107,"6억 4,000",64000.0,,남향,"128/107m², 저/14층, 남향",부동산써브 제공,25.06.18,17,2025-07-02 03:32:07,우림루미아트,경기도 부천시 원미구 역곡동 202,128.54/107.20,64500.0,68000.0,70500.0,OK부동산공인,032-342-6000,500.0,0.78,우림루미아트,128.0
2025-07-03 05:41:01,우림루미아트 101동,경기도,부천시 원미구,역곡동,105A/84,"5억 5,000",55000.0,11/14층,남서향,"105A/84m², 11/14층, 남서향",부동산써브 제공,25.06.18,15,2025-07-02 03:32:07,우림루미아트,경기도 부천시 원미구 역곡동 202,105.63A/84.96,55500.0,58750.0,61000.0,OK부동산공인,032-342-6000,500.0,0.9,우림루미아트,105.0
2025-07-03 05:41:01,우림루미아트 101동,경기도,부천시 원미구,역곡동,105A/84,"5억 5,000",55000.0,3/14층,남서향,"105A/84m², 3/14층, 남서향",부동산써브 제공,25.06.19,13,2025-07-02 03:32:07,우림루미아트,경기도 부천시 원미구 역곡동 202,105.63A/84.96,55500.0,58750.0,61000.0,OK부동산공인,032-342-6000,500.0,0.9,우림루미아트,105.0
2025-07-03 05:46:22,두산 102동,경기도,부천시 원미구,원미동,81/59,"4억 1,000",41000.0,12/21층,남동향,"81/59m², 12/21층, 남동향",매경부동산 제공,25.06.28,20,2025-07-02 03:36:07,두산,경기도 부천시 원미구 원미동 151-1,81.78/59.94,41500.0,44000.0,46250.0,신두산공인,032-653-2353,500.0,1.2,두산,81.0
